"","publish_date","content_title","content_url","type"
"58",2018-08-22,"電子情報通信学会2018年総合大会におけるISS特別企画「学生ポスターセッション」において生命医科学部の親泊潤さんが優秀ポスター賞を授賞しました。","https://www.doshisha.ac.jp/news/2018/0822/news-detail-6254.html","topics"
"59",2018-08-22,"『逸品塾』創立10周年記念式典を実施しました","https://www.doshisha.ac.jp/news/2018/0822/news-detail-6231.html","topics"
"60",2018-08-22,"「宇宙生体医工学研究プロジェクト」のオリジナルサイトを開設しました","https://www.doshisha.ac.jp/news/2018/0822/news-detail-6229.html","topics"
"61",2018-08-21,"社会経済学発展学会（Society for the Advancement of Socio-Economics）が日本で初めて開催されました","https://www.doshisha.ac.jp/news/2018/0821/news-detail-6238.html","topics"
"62",2018-08-21,"2018年度ハーバードサマースクールを今出川校地にて実施しました","https://www.doshisha.ac.jp/news/2018/0821/news-detail-6237.html","topics"
"63",2018-08-11,"同志社大学学生支援センター主催 ～お兄さんお姉さんと一緒にあそぼう！～ 寒梅館夏まつり","https://www.doshisha.ac.jp/news/2018/0811/news-detail-6212.html","press"
"64",2018-08-09,"「世界学生環境サミット2018」を同志社大学で開催！","https://www.doshisha.ac.jp/news/2018/0809/news-detail-6195.html","press"
"65",2018-07-30,"科学技術振興機構女子中高生の理系進路選択プログラム 同志社大学「ガールズサイエンスキャンプ」開催","https://www.doshisha.ac.jp/news/2018/0730/news-detail-6189.html","press"
"66",2018-07-27,"同志社幼稚園の新築移転を決定","https://www.doshisha.ac.jp/news/2018/0727/news-detail-6188.html","press"
"67",2018-07-11,"2020年度　理工学研究科　大学院入学試験における変更について","https://www.doshisha.ac.jp/news/2018/0711/news-detail-6199.html","important"
"68",2018-06-27,"今出川校地周辺の路上での迷惑行為について","https://www.doshisha.ac.jp/news/2018/0627/news-detail-6200.html","important"
"69",2018-06-21,"平成30年大阪府北部を震源とする地震による被害へのお見舞いと特別措置について","https://www.doshisha.ac.jp/news/2018/0621/news-detail-6143.html","important"
"70",2018-05-16,"【全ての在学生の方へ】公正な学習・研究活動を推進するために","https://www.doshisha.ac.jp/news/2018/0516/news-detail-6000.html","important"
"71",2018-04-02,"【注意喚起】学生の皆さんへ　あなたの大切な情報を守るために（必ずお読みください）","https://www.doshisha.ac.jp/news/2018/0402/news-detail-5770.html","important"
